player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
235238,Armand Takam,M,Cameroon,CMR,2004,Summer,Athina,Boxing,Boxing Men's Super-Heavyweight,No medal
235239,Daiki Takamatsu,M,Japan,JPN,2004,Summer,Athina,Football,Football Men's Football,No medal
235244,Masahiro Takamatsu,M,Japan,JPN,2004,Summer,Athina,Judo,Judo Men's Lightweight,No medal
235245,Yoshiko Takamatsu,F,Japan,JPN,1960,Summer,Roma,Swimming,Swimming Women's 200 metres Breaststroke,No medal
235246,Yoshiko Takamatsu,F,Japan,JPN,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal
235247,Hiroaki Takami,M,Japan,JPN,1984,Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,No medal
235248,Yasunori Takami,M,Japan,JPN,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Bronze
235253,Teruchiyo Takamiya,M,Japan,JPN,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal
235254,Anju Takamizawa,F,Japan,JPN,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal
235255,Yasuo (kageyama-),M,Japan,JPN,1956,Summer,Melbourne,Football,Football Men's Football,No medal
235256,Seiichi Takamura,M,Japan,JPN,1984,Summer,Los Angeles,Handball,Handball Men's Handball,No medal
235257,Seiichi Takamura,M,Japan,JPN,1988,Summer,Seoul,Handball,Handball Men's Handball,No medal
235258,Emi Takanabe,F,Japan,JPN,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,No medal
235260,Itsuo Takanezawa,M,Japan,JPN,1976,Summer,Montreal,Athletics,Athletics Men's Pole Vault,No medal
235261,Seishi Takanezawa,M,Japan,JPN,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
235262,Kazuhiro Takanishi,M,Japan,JPN,1976,Summer,Montreal,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",No medal
235263,Aya Takano,F,Japan,JPN,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,No medal
235264,Aya Takano,F,Japan,JPN,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,No medal
235265,Hiromitsu Takano,M,Japan,JPN,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,No medal
235266,Sena Takano,F,Japan,JPN,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,No medal
235267,Susumu Takano,M,Japan,JPN,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,No medal
235268,Susumu Takano,M,Japan,JPN,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
235269,Susumu Takano,M,Japan,JPN,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,No medal
235270,Susumu Takano,M,Japan,JPN,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
235271,Susumu Takano,M,Japan,JPN,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
235272,Susumu Takano,M,Japan,JPN,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,No medal
235273,Susumu Takano,M,Japan,JPN,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
235282,Nobuhira Takanuki,M,Japan,JPN,1960,Summer,Roma,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal
235284,Hiroaki Takao,M,Japan,JPN,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,No medal
235285,Kazuyuki Takao,M,Japan,JPN,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,No medal
235286,Toshinari Takaoka,M,Japan,JPN,1996,Summer,Atlanta,Athletics,"Athletics Men's 10,000 metres",No medal
235287,Toshinari Takaoka,M,Japan,JPN,2000,Summer,Sydney,Athletics,"Athletics Men's 5,000 metres",No medal
235288,Toshinari Takaoka,M,Japan,JPN,2000,Summer,Sydney,Athletics,"Athletics Men's 10,000 metres",No medal
235289,Minoru Takarabe,M,Myojo,JPN,1936,Summer,Berlin,Sailing,Sailing Mixed Two Person Keelboat,No medal
235290,Takayoshi Takasawa,M,Japan,JPN,1988,Summer,Seoul,Sailing,Sailing Mixed One Person Dinghy,No medal
235291,Kei Takase,M,Japan,JPN,2012,Summer,London,Athletics,Athletics Men's 200 metres,No medal
235292,Kei Takase,M,Japan,JPN,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
235293,Kei Takase,M,Japan,JPN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,No medal
235294,Megumi Takase,F,Japan,JPN,2012,Summer,London,Football,Football Women's Football,Silver
235295,Akio Takashima,M,Japan,JPN,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,No medal
235296,Akio Takashima,M,Japan,JPN,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,No medal
235297,Isamu Takashima,M,Japan,JPN,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal
235301,Yuka Takashima,F,Japan,JPN,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",No medal
235302,Fumio Takashina,M,Japan,JPN,1928,Summer,Amsterdam,Diving,Diving Men's Springboard,No medal
