atleta_nome,genero,year,pais,noc,temporada,cidade,esporte,evento,medalha
Nicols Deyme,Masculino,2016,Ecuador,ECU,Summer,Rio de Janeiro,EQUESTRIANISM,"Equestrianism Mixed Three-Day Event, Individual",Nenhuma Medalha
Frank Wheaton,Masculino,1904,United States-5,USA,Summer,St. Louis,TENNIS,Tennis Men's Doubles,Nenhuma Medalha
Malini Wickramasinghe,Feminino,2000,Sri Lanka,SRI,Summer,Sydney,SHOOTING,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Nenhuma Medalha
Adam Wiercioch,Masculino,2008,Poland,POL,Summer,Beijing,FENCING,"Fencing Men's epee, Team",Prata
Lones Jr.,Masculino,1964,United States,USA,Summer,Tokyo,SHOOTING,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Prata
Marjon Wijnsma,Feminino,1988,Netherlands,NED,Summer,Seoul,ATHLETICS,Athletics Women's Heptathlon,Nenhuma Medalha
Claus Wilke,Masculino,1968,East Germany,GDR,Summer,Mexico City,ROWING,Rowing Men's Coxed Eights,Nenhuma Medalha
Julia Wilkinson,Feminino,2008,Canada,CAN,Summer,Beijing,SWIMMING,Swimming Women's 100 metres Freestyle,Nenhuma Medalha
Dean Willey,Masculino,1988,Great Britain,GBR,Summer,Seoul,WEIGHTLIFTING,Weightlifting Men's Middleweight,Nenhuma Medalha
Charles Williams,Masculino,1908,Great Britain,GBR,Summer,London,ATHLETICS,Athletics Men's Long Jump,Nenhuma Medalha
James Williams,Masculino,2008,United States,USA,Summer,Beijing,FENCING,"Fencing Men's Sabre, Team",Prata
Andrew Willis,Masculino,2012,Great Britain,GBR,Summer,London,SWIMMING,Swimming Men's 200 metres Breaststroke,Nenhuma Medalha
Nile Wilson,Masculino,2016,Great Britain,GBR,Summer,Rio de Janeiro,GYMNASTICS,Gymnastics Men's Parallel Bars,Nenhuma Medalha
Michael Winter,Masculino,2008,Canada,CAN,Summer,Beijing,EQUESTRIANISM,"Equestrianism Mixed Three-Day Event, Individual",Nenhuma Medalha
Wadysaw Wojtakajtis,Masculino,1968,Poland,POL,Summer,Mexico City,SWIMMING,Swimming Men's 400 metres Freestyle,Nenhuma Medalha
August Wolf,Masculino,1984,United States,USA,Summer,Los Angeles,ATHLETICS,Athletics Men's Shot Put,Nenhuma Medalha
Rose-Kaying Woo,Feminino,2016,Canada,CAN,Summer,Rio de Janeiro,GYMNASTICS,Gymnastics Women's Balance Beam,Nenhuma Medalha
Nicholas Woodbridge,Masculino,2008,Great Britain,GBR,Summer,Beijing,MODERN PENTATHLON,Modern Pentathlon Men's Individual,Nenhuma Medalha
Maxwell Woosnam,Masculino,1920,Great Britain-2,GBR,Summer,Antwerpen,TENNIS,Tennis Men's Doubles,Ouro
Pawe Woniak,Masculino,1992,Poland,POL,Summer,Barcelona,ATHLETICS,Athletics Men's 400 metres Hurdles,Nenhuma Medalha
Wu Shugen,Feminino,2012,China,CHN,Summer,London,JUDO,Judo Women's Extra-Lightweight,Nenhuma Medalha
Xian Dongmei,Feminino,2004,China,CHN,Summer,Athina,JUDO,Judo Women's Half-Lightweight,Ouro
Yang Hak-seon,Masculino,2012,South Korea,KOR,Summer,London,GYMNASTICS,Gymnastics Men's Parallel Bars,Nenhuma Medalha
Yang Yilin,Feminino,2008,China,CHN,Summer,Beijing,GYMNASTICS,Gymnastics Women's Floor Exercise,Nenhuma Medalha
Fouad Yazgi,Masculino,1952,Egypt,EGY,Summer,Helsinki,ATHLETICS,Athletics Men's 4 x 100 metres Relay,Nenhuma Medalha
Ye Chong,Masculino,1992,China,CHN,Summer,Barcelona,FENCING,"Fencing Men's Foil, Team",Nenhuma Medalha
Vasily Yegorov,Masculino,2016,Russia,RUS,Summer,Rio de Janeiro,BOXING,Boxing Men's Light-Flyweight,Nenhuma Medalha
Ikuko (-miyamara),Feminino,1964,Japan,JPN,Summer,Tokyo,ATHLETICS,Athletics Women's 4 x 100 metres Relay,Nenhuma Medalha
Shuichi Yoneshige,Masculino,1988,Japan,JPN,Summer,Seoul,ATHLETICS,"Athletics Men's 5,000 metres",Nenhuma Medalha
Jason Young,Masculino,2012,United States,USA,Summer,London,ATHLETICS,Athletics Men's Discus Throw,Nenhuma Medalha
Lawrence Young,Masculino,1972,United States,USA,Summer,Munich,ATHLETICS,Athletics Men's 20 kilometres Walk,Nenhuma Medalha
Yu Hui,Feminino,2000,China,CHN,Summer,Sydney,ARCHERY,Archery Women's Individual,Nenhuma Medalha
Yu Won-cheol,Masculino,2016,South Korea,KOR,Summer,Rio de Janeiro,GYMNASTICS,Gymnastics Men's Rings,Nenhuma Medalha
Sergey Yuryevich,Masculino,1924,Russia,RUS,Summer,Paris,ART COMPETITIONS,Art Competitions Mixed Sculpturing,Nenhuma Medalha
Mihai Zafiu,Masculino,1972,Romania,ROU,Summer,Munich,CANOEING,"Canoeing Men's Kayak Fours, 1,000 metres",Prata
Zagdbazaryn Davaanyam,Masculino,1968,Mongolia,MGL,Summer,Mexico City,GYMNASTICS,Gymnastics Men's Floor Exercise,Nenhuma Medalha
Miguel Cruz,Masculino,1972,Peru,PER,Summer,Munich,WRESTLING,"Wrestling Men's Super-Heavyweight, Freestyle",Nenhuma Medalha
Giorgio Zampori,Masculino,1924,Italy,ITA,Summer,Paris,GYMNASTICS,Gymnastics Men's Individual All-Around,Nenhuma Medalha
Mariusz Zasada,Masculino,1976,Poland,POL,Summer,Montreal,GYMNASTICS,Gymnastics Men's Horse Vault,Nenhuma Medalha
Alexandra Zawistowska,Feminino,2004,Poland,POL,Summer,Athina,RHYTHMIC GYMNASTICS,Rhythmic Gymnastics Women's Group,Nenhuma Medalha
Ji Emba,Masculino,1964,Czechoslovakia,TCH,Summer,Tokyo,ATHLETICS,Athletics Men's Discus Throw,Nenhuma Medalha
Zhang Bing,Masculino,1988,China,CHN,Summer,Seoul,SHOOTING,Shooting Mixed Trap,Nenhuma Medalha
Zhang Guangjun,Masculino,1996,China,CHN,Summer,Atlanta,JUDO,Judo Men's Half-Lightweight,Nenhuma Medalha
Lily Zhang,Feminino,2016,United States,USA,Summer,Rio de Janeiro,TABLE TENNIS,Table Tennis Women's Team,Nenhuma Medalha
Zhang Weihong,Feminino,1988,China,CHN,Summer,Seoul,HANDBALL,Handball Women's Handball,Nenhuma Medalha
Rajko Ii,Masculino,1980,Yugoslavia,YUG,Summer,Moskva,BASKETBALL,Basketball Men's Basketball,Ouro
Dimitar Zlatanov,Masculino,1972,Bulgaria,BUL,Summer,Munich,VOLLEYBALL,Volleyball Men's Volleyball,Nenhuma Medalha
Jacqueline Zoch,Feminino,1976,United States,USA,Summer,Montreal,ROWING,Rowing Women's Coxed Eights,Bronze
Stefan Zoev,Masculino,1968,Bulgaria,BUL,Summer,Mexico City,GYMNASTICS,Gymnastics Men's Parallel Bars,Nenhuma Medalha
Gigi Zosa,Feminino,1984,Canada,CAN,Summer,Los Angeles,GYMNASTICS,Gymnastics Women's Uneven Bars,Nenhuma Medalha
Zou Kai,Masculino,2008,China,CHN,Summer,Beijing,GYMNASTICS,Gymnastics Men's Floor Exercise,Ouro
Alex Abrines,Masculino,2020,Spain,ESP,Summer,Tokyo,BASKETBALL,Men Team,Nenhuma Medalha
Kelly Brazier,Feminino,2020,New Zealand,NZL,Summer,Tokyo,RUGBY SEVENS,Women Team,Ouro
Quanesha Burks,Feminino,2020,United States,USA,Summer,Tokyo,ATHLETICS,Women's Long Jump,Nenhuma Medalha
Federica Cesarini,Feminino,2020,Italy,ITA,Summer,Tokyo,ROWING,Lightweight Women's Double Sculls Team,Ouro
Kyra Cooney-cross,Feminino,2020,Australia,AUS,Summer,Tokyo,FOOTBALL,Women Team,Nenhuma Medalha
Tarryn Davey,Feminino,2020,New Zealand,NZL,Summer,Tokyo,HOCKEY,Women Team,Nenhuma Medalha
Birhane Dibaba,Feminino,2020,Ethiopia,ETH,Summer,Tokyo,ATHLETICS,Women's Marathon,Nenhuma Medalha
Karim Fouad,Masculino,2020,Egypt,EGY,Summer,Tokyo,FOOTBALL,Men Team,Nenhuma Medalha
Jessica Gadirova,Feminino,2020,Great Britain,GBR,Summer,Tokyo,ARTISTIC GYMNASTICS,Women's Team,Bronze
Gerald Geay,Masculino,2020,Tanzania,TAN,Summer,Tokyo,ATHLETICS,Men's Marathon,Nenhuma Medalha
Rune Glifberg,Masculino,2020,Denmark,DEN,Summer,Tokyo,SKATEBOARDING,Men's Park,Nenhuma Medalha
Anne Harrington,Feminino,2020,Ireland,IRL,Summer,Tokyo,BOXING,Women's Light (57-60kg),Ouro
Victoria Hayward,Feminino,2020,Canada,CAN,Summer,Tokyo,BASEBALL/SOFTBALL,Softball Team,Bronze
Stephan Hegyi,Masculino,2020,Austria,AUT,Summer,Tokyo,JUDO,Men +100 kg,Nenhuma Medalha
Barbora Hermannova,Feminino,2020,Czech Republic,CZE,Summer,Tokyo,BEACH VOLLEYBALL,Women Team,Nenhuma Medalha
Markus Hoelgaard,Masculino,2020,Norway,NOR,Summer,Tokyo,CYCLING ROAD,Men's Road Race,Nenhuma Medalha
Viviane Jungblut,Feminino,2020,Brazil,BRA,Summer,Tokyo,SWIMMING,Women's 800m Freestyle,Nenhuma Medalha
Pat Kay,Masculino,2020,Canada,CAN,Summer,Tokyo,RUGBY SEVENS,Men Team,Nenhuma Medalha
Deborah Kerr,Feminino,2020,Great Britain,GBR,Summer,Tokyo,CANOE SPRINT,Women's Kayak Single 200m,Nenhuma Medalha
Diana Klimova,Feminino,2020,Russia,ROC,Summer,Tokyo,CYCLING TRACK,Women's Madison,Nenhuma Medalha
Karolina Koszewska,Feminino,2020,Poland,POL,Summer,Tokyo,BOXING,Women's Welter (64-69kg),Nenhuma Medalha
Margareta Kozuch,Feminino,2020,Germany,GER,Summer,Tokyo,BEACH VOLLEYBALL,Women Team,Nenhuma Medalha
Anastasia Lebedeva,Feminino,2020,Russia,ROC,Summer,Tokyo,ROWING,Lightweight Women's Double Sculls Team,Nenhuma Medalha
Shiyu Lu,Feminino,2020,China,CHN,Summer,Tokyo,ROWING,Women's Four Team,Nenhuma Medalha
McALEESE Shea,Masculino,2020,New Zealand,NZL,Summer,Tokyo,HOCKEY,Men Team,Nenhuma Medalha
Robert Meeuwsen,Masculino,2020,Netherlands,NED,Summer,Tokyo,BEACH VOLLEYBALL,Men Team,Nenhuma Medalha
Rikako Miura,Feminino,2020,Japan,JPN,Summer,Tokyo,WATER POLO,Women Team,Nenhuma Medalha
Timur Naniev,Masculino,2020,Russia,ROC,Summer,Tokyo,WEIGHTLIFTING,Men's 109kg,Nenhuma Medalha
Sarah Ndunde,Feminino,2020,Kenya,KEN,Summer,Tokyo,RUGBY SEVENS,Women Team,Nenhuma Medalha
Meline Nocandy,Feminino,2020,France,FRA,Summer,Tokyo,HANDBALL,Women Team,Ouro
Thawee Umponmaha,Masculino,1984,Thailand,THA,Summer,Los Angeles,BOXING,Boxing Men's Light-Welterweight,Prata
