atleta_nome,genero,year,pais,noc,temporada,cidade,esporte,evento,medalha
Anna Sztankovics,Feminino,2012,Hungary,HUN,Summer,London,SWIMMING,Swimming Women's 200 metres Breaststroke,Nenhuma Medalha
Zoltan Sztehlo,Masculino,1968,Canada,CAN,Summer,Mexico City,EQUESTRIANISM,"Equestrianism Mixed Dressage, Individual",Nenhuma Medalha
Yuji Takada,Masculino,1976,Japan,JPN,Summer,Montreal,WRESTLING,"Wrestling Men's Flyweight, Freestyle",Ouro
Kosaku Takahashi,Masculino,1964,Japan,JPN,Summer,Tokyo,CYCLING,"Cycling Men's Team Pursuit, 4,000 metres",Nenhuma Medalha
Kazuyuki Takao,Masculino,1996,Japan,JPN,Summer,Atlanta,BEACH VOLLEYBALL,Beach Volleyball Men's Beach Volleyball,Nenhuma Medalha
Dudley Talcott,Masculino,1932,United States,USA,Summer,Los Angeles,ART COMPETITIONS,"Art Competitions Mixed Sculpturing, Statues",Nenhuma Medalha
Yusuke Tanaka,Masculino,2016,Japan,JPN,Summer,Rio de Janeiro,GYMNASTICS,Gymnastics Men's Horizontal Bar,Nenhuma Medalha
Galina Tancheva,Feminino,2004,Bulgaria,BUL,Summer,Athina,RHYTHMIC GYMNASTICS,Rhythmic Gymnastics Women's Group,Bronze
Melissa Tapper,Feminino,2016,Australia,AUS,Summer,Rio de Janeiro,TABLE TENNIS,Table Tennis Women's Singles,Nenhuma Medalha
Lucio Tasca,Masculino,1960,Italy,ITA,Summer,Roma,EQUESTRIANISM,"Equestrianism Men's Three-Day Event, Individual",Nenhuma Medalha
tefan Tanadi,Masculino,1984,Romania,ROU,Summer,Los Angeles,WEIGHTLIFTING,Weightlifting Men's Heavyweight II,Prata
Boris Tatushin,Masculino,1956,Soviet Union,URS,Summer,Melbourne,FOOTBALL,Football Men's Football,Ouro
Nathalie Tauziat,Feminino,1992,France,FRA,Summer,Barcelona,TENNIS,Tennis Women's Doubles,Nenhuma Medalha
Veniamin Tayanovich,Masculino,1992,Unified Team,EUN,Summer,Barcelona,SWIMMING,Swimming Men's 4 x 100 metres Freestyle Relay,Prata
Issam Tej,Masculino,2012,Tunisia,TUN,Summer,London,HANDBALL,Handball Men's Handball,Nenhuma Medalha
Kristina Telde,Feminino,2012,Sweden,SWE,Summer,London,EQUESTRIANISM,"Equestrianism Mixed Dressage, Team",Nenhuma Medalha
Raymond Terrell,Masculino,1968,Great Britain,GBR,Summer,Mexico City,SWIMMING,Swimming Men's 400 metres Individual Medley,Nenhuma Medalha
Kiril Terziev,Masculino,2012,Bulgaria,BUL,Summer,London,WRESTLING,"Wrestling Men's Middleweight, Freestyle",Nenhuma Medalha
Nicole Teter,Feminino,2004,United States,USA,Summer,Athina,ATHLETICS,Athletics Women's 800 metres,Nenhuma Medalha
Ioannis Theofilakis,Masculino,1920,Greece,GRE,Summer,Antwerpen,SHOOTING,"Shooting Men's Free Pistol, 50 metres",Nenhuma Medalha
mile Thves,Masculino,1900,Belgium,BEL,Summer,Paris,SHOOTING,"Shooting Men's Free Pistol, 50 metres",Nenhuma Medalha
Jana (-ullrich),Feminino,1996,Germany,GER,Summer,Atlanta,ROWING,Rowing Women's Double Sculls,Nenhuma Medalha
Alan Thompson,Masculino,1980,New Zealand,NZL,Summer,Moskva,CANOEING,"Canoeing Men's Kayak Doubles, 500 metres",Nenhuma Medalha
Nick Thompson,Masculino,2016,Great Britain,GBR,Summer,Rio de Janeiro,SAILING,Sailing Men's One Person Dinghy,Nenhuma Medalha
Ronald Tinkler,Masculino,1960,South Africa,RSA,Summer,Roma,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Manuela Trneci,Feminino,1992,Romania,ROU,Summer,Barcelona,ATHLETICS,Athletics Women's Discus Throw,Nenhuma Medalha
Jaroslav Tom,Masculino,1976,Czechoslovakia,TCH,Summer,Montreal,VOLLEYBALL,Volleyball Men's Volleyball,Nenhuma Medalha
Nobutaka Tomatsu,Masculino,1988,Japan,JPN,Summer,Seoul,WEIGHTLIFTING,Weightlifting Men's Heavyweight I,Nenhuma Medalha
Hendrikje Top,Feminino,1984,Netherlands,NED,Summer,Los Angeles,CYCLING,"Cycling Women's Road Race, Individual",Nenhuma Medalha
Stefan Topurov,Masculino,1988,Bulgaria,BUL,Summer,Seoul,WEIGHTLIFTING,Weightlifting Men's Featherweight,Prata
Guillermo Rodrguez,Masculino,2004,Cuba,CUB,Summer,Athina,SHOOTING,Shooting Men's Skeet,Nenhuma Medalha
Gaspare Torretta,Masculino,1906,Italy,ITA,Summer,Athina,ATHLETICS,Athletics Men's 100 metres,Nenhuma Medalha
Arnulfo Torrevillas,Masculino,1964,Philippines,PHI,Summer,Tokyo,BOXING,Boxing Men's Bantamweight,Nenhuma Medalha
Napis Tortungpanich,Masculino,2016,Thailand,THA,Summer,Rio de Janeiro,SHOOTING,"Shooting Men's Air Rifle, 10 metres",Nenhuma Medalha
Zoran Toi,Masculino,2008,Serbia,SRB,Summer,Beijing,FOOTBALL,Football Men's Football,Nenhuma Medalha
Christian Tourret,Masculino,1972,France,FRA,Summer,Munich,ATHLETICS,Athletics Men's Long Jump,Nenhuma Medalha
Haakon Tnsager,Masculino,1912,Kristiania Roklub-1,NOR,Summer,Stockholm,ROWING,"Rowing Men's Coxed Fours, Outriggers",Bronze
Ivan Tsonov,Masculino,1988,Bulgaria,BUL,Summer,Seoul,WRESTLING,"Wrestling Men's Light-Flyweight, Freestyle",Prata
Shinsaku Tsukawaki,Masculino,1956,Japan,JPN,Summer,Melbourne,GYMNASTICS,Gymnastics Men's Horse Vault,Nenhuma Medalha
Gerard Tubier,Masculino,1964,Australia,AUS,Summer,Tokyo,FENCING,"Fencing Men's Foil, Team",Nenhuma Medalha
eref Tfenk,Masculino,2008,Turkey,TUR,Summer,Beijing,WRESTLING,"Wrestling Men's Middleweight, Greco-Roman",Nenhuma Medalha
Huvi Tuiskunen,Masculino,1912,Finland,FIN,Summer,Stockholm,SHOOTING,"Shooting Men's Running Target, Single Shot",Nenhuma Medalha
Raili Tuominen-hmlinen,Feminino,1960,Finland,FIN,Summer,Roma,GYMNASTICS,Gymnastics Women's Floor Exercise,Nenhuma Medalha
George Turbyfill,Masculino,1932,United States,USA,Summer,Los Angeles,WEIGHTLIFTING,Weightlifting Men's Heavyweight,Nenhuma Medalha
Olga Turchak,Feminino,1988,Soviet Union,URS,Summer,Seoul,ATHLETICS,Athletics Women's High Jump,Nenhuma Medalha
Pierre Turquet,Masculino,1948,Great Britain,GBR,Summer,London,FENCING,"Fencing Men's Foil, Team",Nenhuma Medalha
Robert Twaddle,Masculino,2008,New Zealand,NZL,Summer,Beijing,ROWING,Rowing Men's Coxless Pairs,Bronze
Luis Roura,Masculino,1976,Spain,ESP,Summer,Montreal,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Norman Tyrrell,Masculino,1948,Great Britain,GBR,Summer,London,ART COMPETITIONS,"Art Competitions Mixed Sculpturing, Unknown Event",Nenhuma Medalha
Antonio Garca,Masculino,2000,Spain,ESP,Summer,Sydney,HANDBALL,Handball Men's Handball,Bronze
Josef Urban,Masculino,1928,Czechoslovakia,TCH,Summer,Amsterdam,WRESTLING,"Wrestling Men's Heavyweight, Greco-Roman",Nenhuma Medalha
Marcela Vchov,Feminino,1972,Czechoslovakia,TCH,Summer,Munich,GYMNASTICS,Gymnastics Women's Balance Beam,Nenhuma Medalha
Velimir Valenta,Masculino,1952,Yugoslavia,YUG,Summer,Helsinki,ROWING,Rowing Men's Coxless Fours,Ouro
Jadier Guzmn,Masculino,2008,Cuba,CUB,Summer,Beijing,WEIGHTLIFTING,Weightlifting Men's Light-Heavyweight,Nenhuma Medalha
Ren Valmy,Masculino,1948,France,FRA,Summer,London,ATHLETICS,Athletics Men's 100 metres,Nenhuma Medalha
Wietse Alten,Masculino,2000,Netherlands,NED,Summer,Sydney,ARCHERY,Archery Men's Team,Nenhuma Medalha
Anton Anrooy,Masculino,1928,Great Britain,GBR,Summer,Amsterdam,ART COMPETITIONS,"Art Competitions Mixed Painting, Paintings",Nenhuma Medalha
Hendrik Grinten,Masculino,1906,Netherlands,NED,Summer,Athina,FENCING,"Fencing Men's epee, Team",Nenhuma Medalha
Cornelia (-bosman),Feminino,1972,Netherlands,NED,Summer,Munich,GYMNASTICS,Gymnastics Women's Balance Beam,Nenhuma Medalha
Jeroen Dijk,Masculino,1996,Netherlands,NED,Summer,Atlanta,BADMINTON,Badminton Men's Singles,Nenhuma Medalha
Pieta Dishoeck,Feminino,2000,Netherlands,NED,Summer,Sydney,ROWING,Rowing Women's Double Sculls,Prata
Alfred Dorp,Masculino,1960,Netherlands,NED,Summer,Roma,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Amy (-rouen),Feminino,2000,United States,USA,Summer,Sydney,SWIMMING,Swimming Women's 4 x 100 metres Medley Relay,Ouro
Petrus Egmond,Masculino,1936,Netherlands,NED,Summer,Berlin,ART COMPETITIONS,"Art Competitions Mixed Painting, Unknown Event",Nenhuma Medalha
douard Haelen,Masculino,1920,Belgium,BEL,Summer,Antwerpen,SWIMMING,Swimming Men's 400 metres Breaststroke,Nenhuma Medalha
Mattheus Heerden,Masculino,1996,South Africa,RSA,Summer,Atlanta,ATHLETICS,Athletics Men's 800 metres,Nenhuma Medalha
Constant Langhendonck,Masculino,1900,Belgium,BEL,Summer,Paris,EQUESTRIANISM,Equestrianism Mixed Long Jump,Ouro
Hermanus Leeuwen,Masculino,1908,Netherlands,NED,Summer,London,ATHLETICS,Athletics Men's High Jump,Nenhuma Medalha
Vera Pol,Feminino,2016,Netherlands,NED,Summer,Rio de Janeiro,GYMNASTICS,Gymnastics Women's Floor Exercise,Nenhuma Medalha
Cornelis Vugt,Masculino,1952,Netherlands,NED,Summer,Helsinki,ROWING,Rowing Men's Coxless Fours,Nenhuma Medalha
Willem Meijer,Masculino,1984,Netherlands,NED,Summer,Los Angeles,SAILING,Sailing Mixed Two Person Keelboat,Nenhuma Medalha
Zlatn Vasilev,Masculino,1996,Bulgaria,BUL,Summer,Atlanta,WEIGHTLIFTING,Weightlifting Men's Lightweight,Nenhuma Medalha
Herder Corredor,Masculino,1996,Colombia,COL,Summer,Atlanta,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Julian Velsquez,Masculino,1964,Argentina,ARG,Summer,Tokyo,FENCING,"Fencing Men's Sabre, Team",Nenhuma Medalha
Margo Sande),Feminino,1972,Netherlands,NED,Summer,Munich,GYMNASTICS,Gymnastics Women's Individual All-Around,Nenhuma Medalha
Anamari Velenek,Feminino,2012,Slovenia,SLO,Summer,London,JUDO,Judo Women's Half-Heavyweight,Nenhuma Medalha
Marleen Verheuen,Feminino,1972,Belgium,BEL,Summer,Munich,ATHLETICS,Athletics Women's 800 metres,Nenhuma Medalha
Joeri Verlinden,Masculino,2012,Netherlands,NED,Summer,London,SWIMMING,Swimming Men's 100 metres Butterfly,Nenhuma Medalha
Zoltn Verraszt,Masculino,1980,Hungary,HUN,Summer,Moskva,SWIMMING,Swimming Men's 4 x 100 metres Medley Relay,Nenhuma Medalha
Willem Viljoen,Masculino,2012,South Africa,RSA,Summer,London,BADMINTON,Badminton Men's Doubles,Nenhuma Medalha
Nadine Visser,Feminino,2016,Netherlands,NED,Summer,Rio de Janeiro,ATHLETICS,Athletics Women's Heptathlon,Nenhuma Medalha
Iosyp Vitebskiy,Masculino,1968,Soviet Union,URS,Summer,Mexico City,FENCING,"Fencing Men's epee, Team",Prata
Adisorn Vitsudhamakul,Masculino,1964,Thailand,THA,Summer,Tokyo,ATHLETICS,Athletics Men's 4 x 400 metres Relay,Nenhuma Medalha
Angelos Vlachopoulos,Masculino,2016,Greece,GRE,Summer,Rio de Janeiro,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
E. Vogler,Masculino,1956,Germany,GER,Summer,Melbourne,SAILING,Sailing Mixed One Person Dinghy,Nenhuma Medalha
Anja Rekowski,Feminino,2000,Germany,GER,Summer,Sydney,JUDO,Judo Women's Half-Middleweight,Nenhuma Medalha
Aleksey Voropayev,Masculino,1992,Unified Team,EUN,Summer,Barcelona,GYMNASTICS,Gymnastics Men's Individual All-Around,Nenhuma Medalha
Wolfram Jr.,Masculino,1992,Austria,AUT,Summer,Barcelona,SHOOTING,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Nenhuma Medalha
Tetsuya Wakabayashi,Masculino,1964,Japan,JPN,Summer,Tokyo,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Tatsuya Wakinaga,Masculino,1988,Japan,JPN,Summer,Seoul,SAILING,Sailing Mixed Two Person Heavyweight Dinghy,Nenhuma Medalha
Luke Walton,Masculino,2004,United States,USA,Summer,Athina,ROWING,Rowing Men's Coxless Pairs,Nenhuma Medalha
Wang Wei-wen,Masculino,2004,Chinese Taipei,TPE,Summer,Athina,SWIMMING,Swimming Men's 200 metres Breaststroke,Nenhuma Medalha
Wang Xiurong,Feminino,1984,China,CHN,Summer,Los Angeles,RHYTHMIC GYMNASTICS,Rhythmic Gymnastics Women's Individual,Nenhuma Medalha
Samuel Wanjiru,Masculino,2008,Kenya,KEN,Summer,Beijing,ATHLETICS,Athletics Men's Marathon,Ouro
Rebecca Ward,Feminino,2008,United States,USA,Summer,Beijing,FENCING,"Fencing Women's Sabre, Team",Bronze
Harry Warnken,Masculino,1904,United States,USA,Summer,St. Louis,GYMNASTICS,"Gymnastics Men's Individual All-Around, Apparatus Work",Nenhuma Medalha
Frederick Wasmer,Masculino,1964,Australia,AUS,Summer,Tokyo,CANOEING,"Canoeing Men's Canadian Doubles, 1,000 metres",Nenhuma Medalha
Peter Waterman,Masculino,1952,Great Britain,GBR,Summer,Helsinki,BOXING,Boxing Men's Light-Welterweight,Nenhuma Medalha
Ferry Weertman,Masculino,2016,Netherlands,NED,Summer,Rio de Janeiro,SWIMMING,Swimming Men's 10 kilometres Open Water,Ouro
Harald Wegelius,Masculino,1980,Finland,FIN,Summer,Moskva,EQUESTRIANISM,"Equestrianism Mixed Jumping, Individual",Nenhuma Medalha
Peter Weissmuller,Masculino,1928,United States,USA,Summer,Amsterdam,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Richrd (vrtesi),Masculino,1908,Hungary,HUN,Summer,London,WRESTLING,"Wrestling Men's Heavyweight, Greco-Roman",Ouro
Theresa (-barnes),Feminino,1920,United States,USA,Summer,Antwerpen,FIGURE SKATING,Figure Skating Women's Singles,Bronze
Earle Wells,Masculino,1964,Pandora,NZL,Summer,Tokyo,SAILING,Sailing Mixed Two Person Heavyweight Dinghy,Ouro
Miriam Welte,Feminino,2012,Germany,GER,Summer,London,CYCLING,Cycling Women's Team Sprint,Ouro
Wilfrid White,Masculino,1952,Great Britain,GBR,Summer,Helsinki,EQUESTRIANISM,"Equestrianism Men's Jumping, Individual",Nenhuma Medalha
Lucinda Whitty,Feminino,2012,Australia,AUS,Summer,London,SAILING,Sailing Women's Three Person Keelboat,Prata
Santi (-suter),Feminino,1996,Switzerland,SUI,Summer,Atlanta,BADMINTON,Badminton Mixed Doubles,Nenhuma Medalha
Emil (hermansson-),Masculino,1920,Sweden,SWE,Summer,Antwerpen,ATHLETICS,"Athletics Men's 3,000 metres, Team",Bronze
Erich Wied,Masculino,1952,Germany,GER,Summer,Helsinki,GYMNASTICS,Gymnastics Men's Pommelled Horse,Nenhuma Medalha
Agnieszka Wieszczek-kordus,Feminino,2008,Poland,POL,Summer,Beijing,WRESTLING,"Wrestling Women's Heavyweight, Freestyle",Bronze
Rachel Williams,Feminino,2012,Great Britain,GBR,Summer,London,FOOTBALL,Football Women's Football,Nenhuma Medalha
Todd Williams,Masculino,1996,United States,USA,Summer,Atlanta,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Ricardo Jr.,Masculino,2000,United States,USA,Summer,Sydney,BOXING,Boxing Men's Light-Welterweight,Prata
Jean Willrich,Masculino,1984,United States,USA,Summer,Los Angeles,FOOTBALL,Football Men's Football,Nenhuma Medalha
Elsie Windes,Feminino,2008,United States,USA,Summer,Beijing,WATER POLO,Water Polo Women's Water Polo,Prata
Charlotte Wingfield,Feminino,2016,Malta,MLT,Summer,Rio de Janeiro,ATHLETICS,Athletics Women's 100 metres,Nenhuma Medalha
Mieczysaw Wojczak,Masculino,1976,Poland,POL,Summer,Montreal,HANDBALL,Handball Men's Handball,Bronze
Artur Wojdat,Masculino,1992,Poland,POL,Summer,Barcelona,SWIMMING,Swimming Men's 200 metres Freestyle,Nenhuma Medalha
Andrzej Wjs,Masculino,2000,Poland-2,POL,Summer,Sydney,CANOEING,"Canoeing Men's Canadian Doubles, Slalom",Nenhuma Medalha
Kathryn Wong,Feminino,1984,Hong Kong,HKG,Summer,Los Angeles,SWIMMING,Swimming Women's 100 metres Backstroke,Nenhuma Medalha
Jennifer Wood,Feminino,1992,Canada,CAN,Summer,Barcelona,GYMNASTICS,Gymnastics Women's Floor Exercise,Nenhuma Medalha
Wu Penggen,Masculino,2008,China,CHN,Summer,Beijing,BEACH VOLLEYBALL,Beach Volleyball Men's Beach Volleyball,Nenhuma Medalha
Christopher Wybrow,Masculino,1984,Australia,AUS,Summer,Los Angeles,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Marvell Ii,Masculino,2008,United States,USA,Summer,Beijing,FOOTBALL,Football Men's Football,Nenhuma Medalha
Xie Jun,Masculino,1988,China,CHN,Summer,Seoul,SWIMMING,Swimming Men's 200 metres Individual Medley,Nenhuma Medalha
Sachiko Yamada,Feminino,2000,Japan,JPN,Summer,Sydney,SWIMMING,Swimming Women's 400 metres Freestyle,Nenhuma Medalha
Hiromi Yamafuji,Masculino,1964,Japan,JPN,Summer,Tokyo,CYCLING,"Cycling Men's Team Pursuit, 4,000 metres",Nenhuma Medalha
Yoko Yamamoto,Feminino,1972,Japan,JPN,Summer,Munich,SWIMMING,Swimming Women's 4 x 100 metres Medley Relay,Nenhuma Medalha
Wi Yeo,Masculino,1992,Singapore,SGP,Summer,Barcelona,SWIMMING,Swimming Men's 100 metres Freestyle,Nenhuma Medalha
Yip Yin,Feminino,2008,Hong Kong,HKG,Summer,Beijing,BADMINTON,Badminton Women's Singles,Nenhuma Medalha
Vilho Ylnen,Masculino,1956,Finland,FIN,Summer,Melbourne,SHOOTING,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Nenhuma Medalha
You Hao,Masculino,2016,China,CHN,Summer,Rio de Janeiro,GYMNASTICS,Gymnastics Men's Parallel Bars,Nenhuma Medalha
Yu Jeong-jae,Masculino,1992,South Korea,KOR,Summer,Barcelona,EQUESTRIANISM,"Equestrianism Mixed Jumping, Individual",Nenhuma Medalha
Peng Yu,Masculino,2012,Malaysia,MAS,Summer,London,FENCING,"Fencing Men's Sabre, Individual",Nenhuma Medalha
Kenichi Yumoto,Masculino,2008,Japan,JPN,Summer,Beijing,WRESTLING,"Wrestling Men's Lightweight, Freestyle",Bronze
Aleksandra Zabelina,Feminino,1968,Soviet Union,URS,Summer,Mexico City,FENCING,"Fencing Women's Foil, Team",Ouro
Yury Zakharov,Masculino,1960,Soviet Union,URS,Summer,Roma,ATHLETICS,"Athletics Men's 5,000 metres",Nenhuma Medalha
Jos Zampicchiatti,Masculino,1924,Argentina,ARG,Summer,Paris,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Mohamed Zaoui,Masculino,1984,Algeria,ALG,Summer,Los Angeles,BOXING,Boxing Men's Middleweight,Bronze
Marina Zarma,Feminino,1996,Cyprus,CYP,Summer,Atlanta,SWIMMING,Swimming Women's 400 metres Freestyle,Nenhuma Medalha
Josef Zellweger,Masculino,1988,Switzerland,SUI,Summer,Seoul,GYMNASTICS,Gymnastics Men's Pommelled Horse,Nenhuma Medalha
Zhang Limei,Feminino,1996,China,CHN,Summer,Atlanta,HANDBALL,Handball Women's Handball,Nenhuma Medalha
Zhang Qibin,Masculino,2016,China,CHN,Summer,Rio de Janeiro,SWIMMING,Swimming Men's 100 metres Butterfly,Nenhuma Medalha
Zhang Rongfang,Feminino,1984,China,CHN,Summer,Los Angeles,VOLLEYBALL,Volleyball Women's Volleyball,Ouro
Zhang Wei,Feminino,2008,China,CHN,Summer,Beijing,BASKETBALL,Basketball Women's Basketball,Nenhuma Medalha
Vasyl Zhdanov,Masculino,1988,Soviet Union,URS,Summer,Seoul,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Viktoriya Zhilinskayte,Feminino,2016,Russia,RUS,Summer,Rio de Janeiro,HANDBALL,Handball Women's Handball,Ouro
Zhu Qianwei,Feminino,2012,China,CHN,Summer,London,SWIMMING,Swimming Women's 50 metres Freestyle,Nenhuma Medalha
Zhu Xiaolin,Feminino,2012,China,CHN,Summer,London,ATHLETICS,Athletics Women's Marathon,Nenhuma Medalha
Katja (-burbach),Feminino,1988,West Germany,FRG,Summer,Seoul,SWIMMING,Swimming Women's 4 x 100 metres Freestyle Relay,Nenhuma Medalha
Carlotta Beauregard,Feminino,2016,Italy,ITA,Summer,Rio de Janeiro,SWIMMING,Swimming Women's 4 x 100 metres Medley Relay,Nenhuma Medalha
Franois Zuang,Masculino,1928,Luxembourg,LUX,Summer,Amsterdam,GYMNASTICS,Gymnastics Men's Horizontal Bar,Nenhuma Medalha
Petra Zublasing,Feminino,2012,Italy,ITA,Summer,London,SHOOTING,"Shooting Women's Air Rifle, 10 metres",Nenhuma Medalha
Andreas Zumbach,Masculino,1992,Switzerland,SUI,Summer,Barcelona,SHOOTING,"Shooting Men's Air Rifle, 10 metres",Nenhuma Medalha
Liliana Zurowski,Feminino,1992,Austria,AUT,Summer,Barcelona,HANDBALL,Handball Women's Handball,Nenhuma Medalha
Viktor Zuyev,Masculino,2008,Belarus,BLR,Summer,Beijing,BOXING,Boxing Men's Heavyweight,Nenhuma Medalha
ABNER,Masculino,2020,Brazil,BRA,Summer,Tokyo,FOOTBALL,Men Team,Ouro
Ekaterina Aleksandrova,Feminino,2020,Russia,ROC,Summer,Tokyo,TENNIS,Women's Singles,Nenhuma Medalha
Abraham Ancer,Masculino,2020,Mexico,MEX,Summer,Tokyo,GOLF,Men's Individual Stroke Play,Nenhuma Medalha
Zach Apple,Masculino,2020,United States,USA,Summer,Tokyo,SWIMMING,Men's 4 x 100m Freestyle Relay Team,Ouro
Alina Arterchuk,Feminino,2020,Russia,ROC,Summer,Tokyo,RUGBY SEVENS,Women Team,Nenhuma Medalha
Dina Asher-smith,Feminino,2020,Great Britain,GBR,Summer,Tokyo,ATHLETICS,Women's 100m,Nenhuma Medalha
Lorenzo Bacci,Masculino,2020,Italy,ITA,Summer,Tokyo,SHOOTING,50m Rifle 3 Positions Men,Nenhuma Medalha
Jane Campbell,Feminino,2020,United States,USA,Summer,Tokyo,FOOTBALL,Women Team,Bronze
Romain Cannone,Masculino,2020,France,FRA,Summer,Tokyo,FENCING,Men's Épée Individual,Ouro
Alize Cornet,Feminino,2020,France,FRA,Summer,Tokyo,TENNIS,Women's Singles,Nenhuma Medalha
Axel Cruysberghs,Masculino,2020,Belgium,BEL,Summer,Tokyo,SKATEBOARDING,Men's Street,Nenhuma Medalha
Westermark Curran,Masculino,2020,Canada,CAN,Summer,Tokyo,HOCKEY,Men Team,Nenhuma Medalha
Philip Doyle,Masculino,2020,Ireland,IRL,Summer,Tokyo,ROWING,Men's Double Sculls Team,Nenhuma Medalha
Martynas Dziaugys,Masculino,2020,Lithuania,LTU,Summer,Tokyo,ROWING,Men's Quadruple Sculls Team,Nenhuma Medalha
Alexandra Escobar,Feminino,2020,Ecuador,ECU,Summer,Tokyo,WEIGHTLIFTING,Women's 59kg,Nenhuma Medalha
Marco Fichera,Masculino,2020,Italy,ITA,Summer,Tokyo,FENCING,Men's Épée Individual,Nenhuma Medalha
Finn Florijn,Masculino,2020,Netherlands,NED,Summer,Tokyo,ROWING,Men's Single Sculls,Nenhuma Medalha
Aline Friess,Feminino,2020,France,FRA,Summer,Tokyo,ARTISTIC GYMNASTICS,Women's Floor Exercise,Nenhuma Medalha
Lamecha Girma,Masculino,2020,Ethiopia,ETH,Summer,Tokyo,ATHLETICS,Men's 3000m Steeplechase,Prata
Alegna Gonzalez,Feminino,2020,Mexico,MEX,Summer,Tokyo,ATHLETICS,Women's 20km Race Walk,Nenhuma Medalha
Lara Grangeon,Feminino,2020,France,FRA,Summer,Tokyo,MARATHON SWIMMING,Women's 10km,Nenhuma Medalha
Mohamed Hassan,Masculino,2020,Egypt,EGY,Summer,Tokyo,FENCING,Men's Foil Team,Nenhuma Medalha
Phil Healy,Feminino,2020,Ireland,IRL,Summer,Tokyo,ATHLETICS,4 x 400m Relay Mixed Team,Nenhuma Medalha
Masakatsu Hikosaka,Masculino,2020,Japan,JPN,Summer,Tokyo,RUGBY SEVENS,Men Team,Nenhuma Medalha
Hsi-en Hsieh,Feminino,2020,Chinese Taipei,TPE,Summer,Tokyo,ATHLETICS,Women's 100m,Nenhuma Medalha
David Huddleston,Masculino,2020,Bulgaria,BUL,Summer,Tokyo,ARTISTIC GYMNASTICS,Men's Horizontal Bar,Nenhuma Medalha
Mohab Ishak,Masculino,2020,Egypt,EGY,Summer,Tokyo,DIVING,Men's 10m Platform,Nenhuma Medalha
Takeshi Kamura,Masculino,2020,Japan,JPN,Summer,Tokyo,BADMINTON,Men's Doubles Team,Nenhuma Medalha
Heejin Kim,Feminino,2020,South Korea,KOR,Summer,Tokyo,VOLLEYBALL,Women Team,Nenhuma Medalha
Stephen Kissa,Masculino,2020,Uganda,UGA,Summer,Tokyo,ATHLETICS,"Men's 10,000m",Nenhuma Medalha
Ranomi Kromowidjojo,Feminino,2020,Netherlands,NED,Summer,Tokyo,SWIMMING,Women's 50m Freestyle,Nenhuma Medalha
Max Kruse,Masculino,2020,Germany,GER,Summer,Tokyo,FOOTBALL,Men Team,Nenhuma Medalha
Marcus Lawler,Masculino,2020,Ireland,IRL,Summer,Tokyo,ATHLETICS,Men's 200m,Nenhuma Medalha
Rayssa Leal,Feminino,2020,Brazil,BRA,Summer,Tokyo,SKATEBOARDING,Women's Street,Prata
Sunisa Lee,Feminino,2020,United States,USA,Summer,Tokyo,ARTISTIC GYMNASTICS,Women's All-Around,Ouro
Sisay Lemma,Masculino,2020,Ethiopia,ETH,Summer,Tokyo,ATHLETICS,Men's Marathon,Nenhuma Medalha
Xavier Lleonart,Masculino,2020,Spain,ESP,Summer,Tokyo,HOCKEY,Men Team,Nenhuma Medalha
Daniel Martin,Masculino,2020,Ireland,IRL,Summer,Tokyo,CYCLING ROAD,Men's Road Race,Nenhuma Medalha
Barbara Matic,Feminino,2020,Croatia,CRO,Summer,Tokyo,JUDO,Women -70 kg,Nenhuma Medalha
McLEOD Erin,Feminino,2020,Canada,CAN,Summer,Tokyo,FOOTBALL,Women Team,Ouro
Kim Metraux,Feminino,2020,Switzerland,SUI,Summer,Tokyo,GOLF,Women's Individual Stroke Play,Nenhuma Medalha
Vivian Okwach,Feminino,2020,Kenya,KEN,Summer,Tokyo,RUGBY SEVENS,Women Team,Nenhuma Medalha
William Watters,Masculino,1908,Great Britain,GBR,Summer,London,GYMNASTICS,Gymnastics Men's Individual All-Around,Nenhuma Medalha
Sara Wedlund,Feminino,1996,Sweden,SWE,Summer,Atlanta,ATHLETICS,"Athletics Women's 5,000 metres",Nenhuma Medalha
Denys Zavhorodniy,Masculino,1996,Ukraine,UKR,Summer,Atlanta,SWIMMING,"Swimming Men's 1,500 metres Freestyle",Nenhuma Medalha
Kelsey Card,Feminino,2020,United States,USA,Summer,Tokyo,ATHLETICS,Women's Discus Throw,Nenhuma Medalha
Remi Cavagna,Masculino,2020,France,FRA,Summer,Tokyo,CYCLING ROAD,Men's Road Race,Nenhuma Medalha
